Springfield,HAMPDEN,"153,552",SPRINGFIELD
Sterling,WORCESTER,"7,858",STERLING
Stockbridge,BERKSHIRE,"1,961",STOCKBRIDGE
Stoneham,MIDDLESEX,"21,605",STONEHAM
Stoughton,NORFOLK,"27,849",STOUGHTON
Stow,MIDDLESEX,"6,854",STOW
Sturbridge,WORCESTER,"9,350",STURBRIDGE
Sudbury,MIDDLESEX,"18,119",SUDBURY
Sunderland,FRANKLIN,"3,699",SUNDERLAND
Sutton,WORCESTER,"9,077",SUTTON
Swampscott,ESSEX,"13,919",SWAMPSCOTT
Swansea,BRISTOL,"16,010",SWANSEA
Taunton,BRISTOL,"56,055",TAUNTON
Templeton,WORCESTER,"8,051",TEMPLETON
Tewksbury,MIDDLESEX,"29,669",TEWKSBURY
Tisbury,DUKES,"4,067",TISBURY
Tolland,HAMPDEN,487,TOLLAND
Topsfield,ESSEX,"6,273",TOPSFIELD
Townsend,MIDDLESEX,"9,133",TOWNSEND
Truro,BARNSTABLE,"2,009",TRURO
Tyngsborough,MIDDLESEX,"11,953",TYNGSBOROUGH
Tyringham,BERKSHIRE,324,TYRINGHAM
Upton,WORCESTER,"7,640",UPTON
Uxbridge,WORCESTER,"13,560",UXBRIDGE
Wakefield,MIDDLESEX,"25,613",WAKEFIELD
Wales,HAMPDEN,"1,864",WALES
Walpole,NORFOLK,"24,562",WALPOLE
Waltham,MIDDLESEX,"61,918",WALTHAM
Ware,HAMPSHIRE,"9,859",WARE
Wareham,PLYMOUTH,"22,339",WAREHAM
Warren,WORCESTER,"5,142",WARREN
Warwick,FRANKLIN,779,WARWICK
Washington,BERKSHIRE,535,WASHINGTON
Watertown,MIDDLESEX,"32,863",WATERTOWN
Wayland,MIDDLESEX,"13,285",WAYLAND
Webster,WORCESTER,"16,812",WEBSTER
Wellesley,NORFOLK,"28,748",WELLESLEY
Wellfleet,BARNSTABLE,"2,742",WELLFLEET
Wendell,FRANKLIN,866,WENDELL
Wenham,ESSEX,"4,993",WENHAM
West Boylston,WORCESTER,"7,779",WEST BOYLSTON
West Bridgewater,PLYMOUTH,"6,941",WEST BRIDGEWATER
West Brookfield,WORCESTER,"3,731",WEST BROOKFIELD
West Newbury,ESSEX,"4,367",WEST NEWBURY
West Springfield,HAMPDEN,"28,574",WEST SPRINGFIELD
West Stockbridge,BERKSHIRE,"1,295",WEST STOCKBRIDGE
West Tisbury,DUKES,"2,828",WEST TISBURY
Westborough,WORCESTER,"18,455",WESTBOROUGH
Westfield,HAMPDEN,"41,399",WESTFIELD
Westford,MIDDLESEX,"22,851",WESTFORD
Westhampton,HAMPSHIRE,"1,603",WESTHAMPTON
Westminster,WORCESTER,"7,339",WESTMINSTER
Weston,MIDDLESEX,"11,737",WESTON
Westport,BRISTOL,"15,655",WESTPORT
Westwood,NORFOLK,"14,768",WESTWOOD
Weymouth,NORFOLK,"54,906",WEYMOUTH
Whately,FRANKLIN,"1,506",WHATELY
Whitman,PLYMOUTH,"14,609",WHITMAN
Wilbraham,HAMPDEN,"14,337",WILBRAHAM
Williamsburg,HAMPSHIRE,"2,476",WILLIAMSBURG
Williamstown,BERKSHIRE,"7,700",WILLIAMSTOWN
Wilmington,MIDDLESEX,"22,936",WILMINGTON
Winchendon,WORCESTER,"10,472",WINCHENDON
Winchester,MIDDLESEX,"21,869",WINCHESTER
Windsor,BERKSHIRE,902,WINDSOR
Winthrop,SUFFOLK,"17,940",WINTHROP
Woburn,MIDDLESEX,"38,949",WOBURN
Worcester,WORCESTER,"182,669",WORCESTER
Worthington,HAMPSHIRE,"1,164",WORTHINGTON
Wrentham,NORFOLK,"11,118",WRENTHAM
Yarmouth,BARNSTABLE,"23,703",YARMOUTH
Total,,"6,646,144",
